Catalog #,Species,Personal ID,Latitude,Longitude,County,State,Prop of dorsum red,Prop of dorsum black,SVL (cm),TL (cm),Prin1 (L. gentilis),Prin1 (C. coccinea)
33510,M.tener,Mt47,29.75,-95.35,Harris,Texas,0.399957395,0.458781282,54.52929311,59.15318008,-0.79750973,-1.250082255
31212,M.tener,Mt48,30.68,-99.1,Mason,Texas,0.392693987,0.387728302,54.47646434,61.90519708,-0.025417591,-0.251899107
33508,M.tener,Mt49,30.08,-94.12,Jefferson,Texas,0.383494365,0.414071755,38.24979804,43.63314834,-0.447639076,-0.767882111
48488,M.tener,Mt50,31.13,-93.07,Newton,Texas,0.444708721,0.383087766,57.28864493,62.46354828,0.625091237,0.457231634
48489,M.tener,Mt51,31.12,-93.67,Newton,Texas,0.471628255,0.375404765,39.36709222,44.62634349,1.025315156,0.905050929
33505,M.tener,Mt52,30.6,-96.35,Brazos,Texas,0.412909411,0.419733734,30.34865193,33.08468294,-0.179493614,-0.493659841
52036,M.tener,Mt53,30.32,-96.15,Washington,Texas,0.407046985,0.417915957,49.12663098,53.83988792,-0.224638743,-0.537763708
52035,M.tener,Mt54,28.74,-97.38,Goliad,Texas,0.423058789,0.38897109,62.30857676,68.89782474,0.306771471,0.101599645
49231,M.tener,Mt55,29.33,-99.28,Medina,Texas,0.402319912,0.391314579,50.40738332,57.94301631,0.0414697,-0.188687027
51192,M.tener,Mt56,30.57,-98.82,Llano,Texas,0.399134801,0.394072629,73.82167368,80.35591469,-0.028137606,-0.269967256
37585,M.tener,Mt57,30.63,-96.33,Brazos,Texas,0.402586449,0.393130693,17.81454647,19.45457957,0.022659738,-0.213208294
46606,M.tener,Mt58,30,-96.32,Austin,Texas,0.405458798,0.394374255,29.50938061,33.59729751,0.040531503,-0.196999861
55447,M.tener,Mt59,25.9,-97.48,Cameron,Texas,0.375222309,0.439351374,47.44963877,54.67396047,-0.846452775,-1.256206341
51842,M.tener,Mt60,30.63,-96.33,Brazos,Texas,0.439485639,0.377579757,48.93313704,53.791682,0.631667807,0.477441179
15387,M.tener,Mt61,31.45,-94.65,Nacogdoches,Texas,0.448995749,0.360059724,49.49481377,57.22956608,0.951248028,0.862212543
19063,M.tener,Mt62,31.8,-95.12,Cherokee,Texas,0.46834852,0.343318884,55.69117198,61.93327925,1.373976973,1.355810422
