Catalog #,Species,Personal ID,Latitude,Longitude,County,State,Prop of dorsum red,Prop of dorsum black,SVL (cm),TL (cm)
956,C. coccinea (East),Cc181,27.77,-82.64,Pinellas,Florida,0.395097726,0.421127247,30.98101604,35.64972193
113956,C. coccinea (East),Cc413,27.916381,-81.604719,Polk,Florida,0.382099828,0.364081325,18.592,21.296
135058,C. coccinea (East),Cc361,27.7926,-82.3798,Hillsborough,Florida,0.501086169,0.329071887,40.049,45.725
135056,C. coccinea (East),Cc363,27.7926,-82.3798,Hillsborough,Florida,0.363570413,0.407533153,34.461,40.379
135051,C. coccinea (East),Cc364,27.7926,-82.3798,Hillsborough,Florida,0.322831949,0.474616899,46.724,53.81
113955,C. coccinea (East),Cc415,28.0326,-81.52525,Polk,Florida,0.363300271,0.373219116,44.36,50.737
113953,C. coccinea (East),Cc412,28.0104,-81.8134,Polk,Florida,0.525517339,0.315144476,42.187,49.703
113950,C. coccinea (East),Cc406,27.91631,-82.74122,Pinellas,Florida,0.394381915,0.396454421,31.363,36.41
87563,C. coccinea (East),Cc416,28.08457,-81.6018,Polk,Florida,0.481624913,0.271139362,37.442,43.62
318321,C. coccinea (East),Cc159,27.95,-82.46,Hillsborough,Florida,0.262089021,0.519362791,36.62633391,42.32943201
81647,C. coccinea (East),Cc362,28.0128,-82.2639,Hillsborough,Florida,0.477537092,0.316439169,33.7,39.819
113880,C. coccinea (East),Cc365,28.03533,-82.38789,Hillsborough,Florida,0.395257575,0.391476002,42.046,47.852
81645,C. coccinea (East),Cc404,28.0876,-82.6529,Pinellas,Florida,0.54046451,0.284881128,29.149,33.338
50829,C. coccinea (East),Cc325,28.608698,-80.674556,Brevard,Florida,0.454015914,0.374087975,33.305,39.21
81644,C. coccinea (East),Cc403,28.11808,-82.6511,Pinellas,Florida,0.342581035,0.385383531,24.835,29.091
81646,C. coccinea (East),Cc405,28.11808,-82.6511,Pinellas,Florida,0.304930225,0.471550242,25.009,28.633
164358,C. coccinea (East),Cc407,28.13034,-82.68421,Pinellas,Florida,0.425642122,0.344239314,42.087,45.937
9740,C. coccinea (East),Cc182,28.33,-81.47,Osceola,Florida,0.433926919,0.405376044,44.4701611,52.988164
47133,C. coccinea (East),Cc324,28.64346,-80.71268,Brevard,Florida,0.372889908,0.413876147,43.6,51.648
50855,C. coccinea (East),Cc326,28.6641565,-80.7098579,Brevard,Florida,0.484913218,0.351802403,37.45,43.399
50854,C. coccinea (East),Cc327,28.6641565,-80.7098579,Brevard,Florida,0.335419206,0.433319789,36.915,41.938
47132,C. coccinea (East),Cc323,28.69994,-80.72328,Brevard,Florida,0.43125,0.393950535,29.92,35.529
176772,C. coccinea (East),Cc297,28.56,-81.25,Orange,Florida,0.447252598,0.330582988,37.73890204,42.48936412
170329,C. coccinea (East),Cc294,28.53,-81.34,Orange,Florida,0.400550914,0.330156565,46.28391386,52.55042174
166913,C. coccinea (East),Cc295,28.58,-81.22,Orange,Florida,0.506547153,0.287713599,50.59992309,57.51244581
10459,C. coccinea (East),Cc172,28.54586,-81.33135,Orange,Florida,0.422517485,0.358142926,57.98057568,65.75636725
10460,C. coccinea (East),Cc240,28.54586,-81.33135,Orange,Florida,0.431455234,0.291191795,27.9783742,32.96406888
11055,C. coccinea (East),Cc168,28.53773,-81.37739,Orange,Florida,0.450281346,0.339971106,25.5864097,29.50305121
11054,C. coccinea (East),Cc237,28.53773,-81.37739,Orange,Florida,0.482462756,0.30274715,48.24606604,56.02977111
36727,C. coccinea (East),Cc2,28.54,-81.38,Orange,Florida,0.412360197,0.393337318,42.19245708,49.34293978
110,C. coccinea (East),Cc102,28.53,-81.52,Orange,Florida,0.416037179,0.375432342,24.96846401,28.84893635
109,C. coccinea (East),Cc104,28.53,-81.52,Orange,Florida,0.366607556,0.392374614,16.85707826,19.63156028
108,C. coccinea (East),Cc105,28.53,-81.52,Orange,Florida,0.521822004,0.296513624,28.45317138,32.52863538
627,C. coccinea (East),Cc106,28.53,-81.52,Orange,Florida,0.437615359,0.335106899,47.43503095,53.95981371
11209,C. coccinea (East),Cc111,28.53,-81.52,Orange,Florida,0.344400278,0.419500081,15.54105947,18.24156931
702,C. coccinea (East),Cc113,28.53,-81.52,Orange,Florida,0.386122478,0.364871094,37.4703,42.90001954
638,C. coccinea (East),Cc114,28.53,-81.52,Orange,Florida,0.435129358,0.308492009,52.53678378,59.78854054
637,C. coccinea (East),Cc116,28.53,-81.52,Orange,Florida,0.555282042,0.23822053,38.36507285,43.23874172
635,C. coccinea (East),Cc117,28.53,-81.52,Orange,Florida,0.365343999,0.402788995,39.92592203,43.51091433
636,C. coccinea (East),Cc118,28.53,-81.52,Orange,Florida,0.478697332,0.329064713,13.44365963,15.83085466
